,end_date,variable,value
58,2019-06-23,aa_s,35.0
117,2019-06-23,aa_d,25.0
116,2019-07-21,aa_d,24.0
57,2019-07-21,aa_s,39.0
56,2019-07-28,aa_s,39.0
115,2019-07-28,aa_d,36.0
114,2019-08-18,aa_d,34.0
55,2019-08-18,aa_s,41.0
113,2019-08-22,aa_d,28.999999999999996
54,2019-08-22,aa_s,38.0
112,2019-09-07,aa_d,40.0
53,2019-09-07,aa_s,35.0
52,2019-09-17,aa_s,36.0
111,2019-09-17,aa_d,31.0
110,2019-09-29,aa_d,40.0
51,2019-09-29,aa_s,39.0
109,2019-10-15,aa_d,28.999999999999996
50,2019-10-15,aa_s,40.0
108,2019-10-20,aa_d,44.0
49,2019-10-20,aa_s,37.0
107,2019-11-10,aa_d,37.0
48,2019-11-10,aa_s,42.0
106,2019-11-12,aa_d,34.0
47,2019-11-12,aa_s,37.0
105,2019-11-23,aa_d,45.0
46,2019-11-23,aa_s,38.0
104,2019-12-08,aa_d,41.0
45,2019-12-08,aa_s,40.0
44,2019-12-08,aa_s,39.0
103,2019-12-08,aa_d,28.000000000000004
42,2020-01-11,aa_s,43.0
101,2020-01-11,aa_d,30.0
102,2020-01-11,aa_d,37.0
43,2020-01-11,aa_s,46.0
100,2020-02-01,aa_d,40.0
41,2020-02-01,aa_s,43.0
99,2020-02-11,aa_d,31.0
40,2020-02-11,aa_s,41.0
39,2020-02-22,aa_s,39.0
98,2020-02-22,aa_d,44.0
97,2020-03-11,aa_d,33.0
38,2020-03-11,aa_s,41.0
37,2020-03-14,aa_s,40.0
96,2020-03-14,aa_d,40.0
36,2020-04-03,aa_s,45.0
95,2020-04-03,aa_d,36.0
35,2020-04-05,aa_s,44.0
94,2020-04-05,aa_d,28.999999999999996
34,2020-04-25,aa_s,45.0
93,2020-04-25,aa_d,34.0
33,2020-05-05,aa_s,42.0
92,2020-05-05,aa_d,27.0
91,2020-05-16,aa_d,37.0
32,2020-05-16,aa_s,44.0
90,2020-06-02,aa_d,30.0
31,2020-06-02,aa_s,43.0
30,2020-06-06,aa_s,41.0
89,2020-06-06,aa_d,38.0
88,2020-06-27,aa_d,40.0
29,2020-06-27,aa_s,42.0
87,2020-07-12,aa_d,28.000000000000004
28,2020-07-12,aa_s,44.0
27,2020-07-18,aa_s,41.0
86,2020-07-18,aa_d,40.0
85,2020-08-08,aa_d,38.0
26,2020-08-08,aa_s,41.0
25,2020-08-09,aa_s,44.0
84,2020-08-09,aa_d,30.0
83,2020-08-29,aa_d,41.0
24,2020-08-29,aa_s,43.0
82,2020-09-19,aa_d,40.0
23,2020-09-19,aa_s,39.0
81,2020-10-10,aa_d,43.0
22,2020-10-10,aa_s,39.0
80,2020-11-06,aa_d,39.0
21,2020-11-06,aa_s,43.0
20,2020-11-28,aa_s,44.0
79,2020-11-28,aa_d,41.0
78,2020-12-01,aa_d,28.999999999999996
19,2020-12-01,aa_s,43.0
18,2021-01-30,aa_s,41.0
77,2021-01-30,aa_d,43.0
17,2021-02-20,aa_s,38.0
76,2021-02-20,aa_d,45.0
16,2021-03-13,aa_s,42.0
75,2021-03-13,aa_d,41.0
14,2021-03-27,aa_s,42.0
73,2021-03-27,aa_d,40.0
74,2021-03-30,aa_d,32.0
15,2021-03-30,aa_s,41.0
13,2021-04-12,aa_s,39.0
72,2021-04-12,aa_d,34.0
71,2021-04-24,aa_d,43.0
12,2021-04-24,aa_s,40.0
11,2021-05-15,aa_s,39.0
70,2021-05-15,aa_d,46.0
69,2021-06-05,aa_d,47.0
10,2021-06-05,aa_s,38.0
68,2021-06-08,aa_d,36.0
9,2021-06-08,aa_s,39.0
67,2021-06-13,aa_d,44.0
8,2021-06-13,aa_s,31.0
7,2021-06-26,aa_s,40.0
66,2021-06-26,aa_d,45.0
6,2021-07-06,aa_s,41.0
65,2021-07-06,aa_d,35.0
64,2021-07-17,aa_d,46.0
63,2021-07-17,aa_d,46.0
5,2021-07-17,aa_s,38.0
4,2021-07-17,aa_s,30.0
3,2021-08-07,aa_s,38.0
62,2021-08-07,aa_d,46.0
2,2021-08-28,aa_s,40.0
61,2021-08-28,aa_d,47.0
1,2021-09-18,aa_s,37.0
60,2021-09-18,aa_d,48.0
59,2021-10-02,aa_d,47.0
0,2021-10-02,aa_s,37.0
