,end_date,variable,value,smooth,noise,ci_top,ci_bot
58,2019-06-23,aa_s,35.0,36.53086419753087,-1.5308641975308674,39.57586032246722,33.48586807259451
57,2019-07-21,aa_s,39.0,38.074074074074076,0.9259259259259238,41.11907019901042,35.02907794913773
56,2019-07-28,aa_s,39.0,39.30357142857143,-0.3035714285714306,42.34856755350778,36.258575303635084
55,2019-08-18,aa_s,41.0,39.50892857142858,1.4910714285714235,42.55392469636493,36.46393244649222
54,2019-08-22,aa_s,38.0,37.96428571428572,0.035714285714277594,41.00928183922207,34.919289589349376
53,2019-09-07,aa_s,35.0,36.32142857142858,-1.3214285714285765,39.36642469636493,33.27643244649222
52,2019-09-17,aa_s,36.0,36.69642857142857,-0.6964285714285694,39.741424696364916,33.65143244649222
51,2019-09-29,aa_s,39.0,38.30357142857143,0.6964285714285694,41.34856755350778,35.258575303635084
50,2019-10-15,aa_s,40.0,38.96428571428571,1.0357142857142918,42.009281839222055,35.91928958934936
49,2019-10-20,aa_s,37.0,39.0,-2.0,42.04499612493635,35.95500387506365
48,2019-11-10,aa_s,42.0,39.37500000000001,2.624999999999993,42.41999612493636,36.33000387506365
47,2019-11-12,aa_s,37.0,38.55357142857142,-1.5535714285714235,41.59856755350778,35.50857530363507
46,2019-11-23,aa_s,38.0,38.419642857142854,-0.4196428571428541,41.46463898207921,35.3746467322065
44,2019-12-08,aa_s,39.0,40.419642857142854,-1.419642857142854,43.46463898207921,37.3746467322065
45,2019-12-08,aa_s,40.0,39.276785714285715,0.7232142857142847,42.32178183922207,36.23178958934936
42,2020-01-11,aa_s,43.0,42.651785714285715,0.3482142857142847,45.69678183922207,39.60678958934936
43,2020-01-11,aa_s,46.0,44.125,1.875,47.16999612493635,41.08000387506365
41,2020-02-01,aa_s,43.0,43.098214285714285,-0.0982142857142847,46.14321041065064,40.05321816077793
40,2020-02-11,aa_s,41.0,41.17857142857143,-0.1785714285714306,44.22356755350778,38.133575303635084
39,2020-02-22,aa_s,39.0,40.142857142857146,-1.142857142857146,43.1878532677935,37.09786101792079
38,2020-03-11,aa_s,41.0,40.419642857142854,0.5803571428571459,43.46463898207921,37.3746467322065
37,2020-03-14,aa_s,40.0,41.55357142857143,-1.5535714285714306,44.59856755350778,38.508575303635084
36,2020-04-03,aa_s,45.0,43.410714285714285,1.5892857142857153,46.45571041065064,40.36571816077793
35,2020-04-05,aa_s,44.0,44.26785714285714,-0.2678571428571388,47.312853267793486,41.22286101792079
34,2020-04-25,aa_s,45.0,44.00000000000001,0.9999999999999929,47.04499612493636,40.95500387506365
33,2020-05-05,aa_s,42.0,43.3125,-1.3125,46.35749612493635,40.26750387506365
32,2020-05-16,aa_s,44.0,43.20535714285714,0.7946428571428612,46.250353267793486,40.16036101792079
31,2020-06-02,aa_s,43.0,42.6875,0.3125,45.73249612493635,39.64250387506365
30,2020-06-06,aa_s,41.0,41.93750000000001,-0.9375000000000071,44.98249612493636,38.89250387506365
29,2020-06-27,aa_s,42.0,42.24107142857143,-0.2410714285714306,45.28606755350778,39.196075303635084
28,2020-07-12,aa_s,44.0,42.580357142857146,1.419642857142854,45.6253532677935,39.53536101792079
27,2020-07-18,aa_s,41.0,41.86607142857142,-0.8660714285714235,44.91106755350778,38.82107530363507
26,2020-08-08,aa_s,41.0,41.90178571428571,-0.9017857142857082,44.946781839222055,38.85678958934936
25,2020-08-09,aa_s,44.0,42.75,1.25,45.79499612493635,39.70500387506365
24,2020-08-29,aa_s,43.0,42.0625,0.9375,45.10749612493635,39.01750387506365
23,2020-09-19,aa_s,39.0,40.285714285714285,-1.2857142857142847,43.33071041065064,37.24071816077793
22,2020-10-10,aa_s,39.0,40.285714285714285,-1.2857142857142847,43.33071041065064,37.24071816077793
21,2020-11-06,aa_s,43.0,42.13392857142857,0.8660714285714306,45.178924696364916,39.08893244649222
20,2020-11-28,aa_s,44.0,43.232142857142854,0.7678571428571459,46.27713898207921,40.1871467322065
19,2020-12-01,aa_s,43.0,42.580357142857146,0.4196428571428541,45.6253532677935,39.53536101792079
18,2021-01-30,aa_s,41.0,40.901785714285715,0.0982142857142847,43.94678183922207,37.85678958934936
17,2021-02-20,aa_s,38.0,40.00892857142857,-2.0089285714285694,43.053924696364916,36.96393244649222
16,2021-03-13,aa_s,42.0,40.96428571428572,1.0357142857142776,44.00928183922207,37.919289589349376
14,2021-03-27,aa_s,42.0,41.50892857142857,0.4910714285714306,44.553924696364916,38.46393244649222
15,2021-03-30,aa_s,41.0,40.75892857142857,0.2410714285714306,43.803924696364916,37.71393244649222
13,2021-04-12,aa_s,39.0,39.83035714285714,-0.8303571428571388,42.875353267793486,36.78536101792079
12,2021-04-24,aa_s,40.0,39.48214285714286,0.5178571428571388,42.52713898207921,36.437146732206514
11,2021-05-15,aa_s,39.0,39.0,0.0,42.04499612493635,35.95500387506365
10,2021-06-05,aa_s,38.0,38.30357142857143,-0.3035714285714306,41.34856755350778,35.258575303635084
9,2021-06-08,aa_s,39.0,36.86607142857143,2.1339285714285694,39.91106755350778,33.821075303635084
8,2021-06-13,aa_s,31.0,35.705357142857146,-4.705357142857146,38.7503532677935,32.66036101792079
7,2021-06-26,aa_s,40.0,37.964285714285715,2.0357142857142847,41.00928183922207,34.91928958934936
6,2021-07-06,aa_s,41.0,39.28571428571429,1.7142857142857082,42.33071041065064,36.240718160777945
5,2021-07-17,aa_s,38.0,36.86607142857143,1.1339285714285694,39.91106755350778,33.821075303635084
4,2021-07-17,aa_s,30.0,34.60714285714286,-4.607142857142861,37.65213898207921,31.56214673220651
3,2021-08-07,aa_s,38.0,36.517857142857146,1.482142857142854,39.5628532677935,33.47286101792079
2,2021-08-28,aa_s,40.0,38.330357142857146,1.669642857142854,41.3753532677935,35.28536101792079
1,2021-09-18,aa_s,37.0,37.78703703703704,-0.7870370370370381,40.832033161973385,34.74204091210069
0,2021-10-02,aa_s,37.0,37.14814814814815,-0.14814814814815236,40.1931442730845,34.103152023211805
