,end_date,variable,value
61,2019-06-23,sm_r,43.0
123,2019-06-23,aa_r,25.0
122,2019-07-21,aa_r,26.0
60,2019-07-21,sm_r,44.0
59,2019-07-28,sm_r,48.0
121,2019-07-28,aa_r,31.0
120,2019-08-18,aa_r,30.0
58,2019-08-18,sm_r,48.0
119,2019-08-22,aa_r,28.000000000000004
57,2019-08-22,sm_r,44.0
118,2019-09-01,aa_r,23.0
56,2019-09-01,sm_r,46.0
55,2019-09-07,sm_r,48.0
117,2019-09-07,aa_r,28.000000000000004
116,2019-09-17,aa_r,25.0
54,2019-09-17,sm_r,46.0
115,2019-09-29,aa_r,31.0
53,2019-09-29,sm_r,50.0
114,2019-10-15,aa_r,28.000000000000004
52,2019-10-15,sm_r,43.0
113,2019-10-20,aa_r,32.0
51,2019-10-20,sm_r,47.0
112,2019-11-10,aa_r,32.0
50,2019-11-10,sm_r,46.0
111,2019-11-12,aa_r,28.000000000000004
49,2019-11-12,sm_r,44.0
48,2019-11-23,sm_r,46.0
110,2019-11-23,aa_r,35.0
108,2019-12-08,aa_r,
47,2019-12-08,sm_r,48.0
46,2019-12-08,sm_r,
109,2019-12-08,aa_r,34.0
45,2020-01-11,sm_r,39.0
106,2020-01-11,aa_r,39.0
107,2020-01-11,aa_r,43.0
44,2020-01-11,sm_r,36.0
105,2020-02-01,aa_r,43.0
43,2020-02-01,sm_r,38.0
42,2020-02-11,sm_r,36.0
104,2020-02-11,aa_r,36.0
103,2020-02-22,aa_r,41.0
41,2020-02-22,sm_r,40.0
102,2020-03-11,aa_r,35.0
40,2020-03-11,sm_r,40.0
39,2020-03-14,sm_r,42.0
101,2020-03-14,aa_r,38.0
100,2020-04-03,aa_r,28.999999999999996
38,2020-04-03,sm_r,53.0
99,2020-04-05,aa_r,27.0
37,2020-04-05,sm_r,46.0
36,2020-04-25,sm_r,56.00000000000001
98,2020-04-25,aa_r,28.000000000000004
35,2020-05-05,sm_r,50.0
97,2020-05-05,aa_r,25.0
96,2020-05-16,aa_r,28.999999999999996
34,2020-05-16,sm_r,56.00000000000001
95,2020-06-02,aa_r,23.0
33,2020-06-02,sm_r,53.0
94,2020-06-06,aa_r,26.0
32,2020-06-06,sm_r,56.00000000000001
93,2020-06-27,aa_r,26.0
31,2020-06-27,sm_r,57.99999999999999
30,2020-07-12,sm_r,50.0
92,2020-07-12,aa_r,27.0
91,2020-07-18,aa_r,26.0
29,2020-07-18,sm_r,59.0
28,2020-08-08,sm_r,60.0
90,2020-08-08,aa_r,25.0
89,2020-08-09,aa_r,22.0
27,2020-08-09,sm_r,52.0
26,2020-08-29,sm_r,57.99999999999999
88,2020-08-29,aa_r,28.999999999999996
87,2020-09-19,aa_r,27.0
25,2020-09-19,sm_r,59.0
86,2020-10-10,aa_r,28.000000000000004
24,2020-10-10,sm_r,56.99999999999999
85,2020-11-06,aa_r,28.999999999999996
23,2020-11-06,sm_r,57.99999999999999
84,2020-11-28,aa_r,28.000000000000004
22,2020-11-28,sm_r,60.0
83,2020-12-01,aa_r,24.0
21,2020-12-01,sm_r,50.0
82,2021-01-30,aa_r,28.999999999999996
20,2021-01-30,sm_r,56.99999999999999
19,2021-02-20,sm_r,61.0
81,2021-02-20,aa_r,26.0
18,2021-03-13,sm_r,56.00000000000001
80,2021-03-13,aa_r,30.0
16,2021-03-27,sm_r,52.0
78,2021-03-27,aa_r,32.0
79,2021-03-30,aa_r,26.0
17,2021-03-30,sm_r,52.0
77,2021-04-12,aa_r,28.000000000000004
15,2021-04-12,sm_r,47.0
14,2021-04-16,sm_r,47.0
76,2021-04-16,aa_r,25.0
75,2021-04-24,aa_r,30.0
13,2021-04-24,sm_r,56.00000000000001
74,2021-05-15,aa_r,30.0
12,2021-05-15,sm_r,55.00000000000001
73,2021-05-16,aa_r,25.0
11,2021-05-16,sm_r,48.0
72,2021-06-05,aa_r,32.0
10,2021-06-05,sm_r,53.0
71,2021-06-08,aa_r,28.000000000000004
9,2021-06-08,sm_r,48.0
8,2021-06-13,sm_r,46.0
70,2021-06-13,aa_r,23.0
69,2021-06-26,aa_r,33.0
7,2021-06-26,sm_r,55.00000000000001
6,2021-07-06,sm_r,46.0
68,2021-07-06,aa_r,28.000000000000004
67,2021-07-17,aa_r,33.0
66,2021-07-17,aa_r,24.0
5,2021-07-17,sm_r,51.0
4,2021-07-17,sm_r,45.0
3,2021-08-07,sm_r,49.0
65,2021-08-07,aa_r,36.0
2,2021-08-28,sm_r,50.0
64,2021-08-28,aa_r,34.0
1,2021-09-18,sm_r,47.0
63,2021-09-18,aa_r,35.0
62,2021-10-02,aa_r,34.0
0,2021-10-02,sm_r,47.0
