,end_date,variable,value,smooth,noise,ci_top,ci_bot
61,2019-06-23,sm_r,43.0,43.58024691358025,-0.5802469135802468,49.06573585898037,38.094757968180126
60,2019-07-21,sm_r,44.0,44.898148148148145,-0.8981481481481453,50.383637093548266,39.412659202748024
59,2019-07-28,sm_r,48.0,46.714285714285715,1.2857142857142847,52.199774659685836,41.228796768885594
58,2019-08-18,sm_r,48.0,46.82142857142857,1.1785714285714306,52.30691751682869,41.33593962602845
57,2019-08-22,sm_r,44.0,45.73214285714286,-1.7321428571428612,51.21763180254298,40.24665391174274
56,2019-09-01,sm_r,46.0,46.07142857142858,-0.0714285714285765,51.5569175168287,40.585939626028456
55,2019-09-07,sm_r,48.0,46.964285714285715,1.0357142857142847,52.449774659685836,41.478796768885594
54,2019-09-17,sm_r,46.0,47.339285714285715,-1.3392857142857153,52.824774659685836,41.853796768885594
53,2019-09-29,sm_r,50.0,47.169642857142854,2.830357142857146,52.655131802542975,41.68415391174273
52,2019-10-15,sm_r,43.0,45.86607142857143,-2.8660714285714306,51.35156037397155,40.38058248317131
51,2019-10-20,sm_r,47.0,45.79464285714286,1.2053571428571388,51.28013180254298,40.30915391174274
50,2019-11-10,sm_r,46.0,45.651785714285715,0.3482142857142847,51.137274659685836,40.166296768885594
49,2019-11-12,sm_r,44.0,45.214285714285715,-1.2142857142857153,50.699774659685836,39.728796768885594
48,2019-11-23,sm_r,46.0,46.0,0.0,51.48548894540012,40.51451105459988
46,2019-12-08,sm_r,,43.17741935483871,,48.66290830023883,37.69193040943859
47,2019-12-08,sm_r,48.0,46.75294117647059,1.2470588235294073,52.238430121870714,41.26745223107047
45,2020-01-11,sm_r,39.0,38.423529411764704,0.5764705882352956,43.909018357164825,32.93804046636458
44,2020-01-11,sm_r,36.0,37.25,-1.25,42.73548894540012,31.76451105459988
43,2020-02-01,sm_r,38.0,37.14285714285714,0.8571428571428612,42.62834608825726,31.657368197457018
42,2020-02-11,sm_r,36.0,37.589285714285715,-1.5892857142857153,43.074774659685836,32.103796768885594
41,2020-02-22,sm_r,40.0,39.035714285714285,0.9642857142857153,44.521203231114406,33.550225340314164
40,2020-03-11,sm_r,40.0,40.80357142857143,-0.8035714285714306,46.28906037397155,35.31808248317131
39,2020-03-14,sm_r,42.0,44.24107142857144,-2.2410714285714377,49.72656037397156,38.75558248317132
38,2020-04-03,sm_r,53.0,48.30357142857142,4.6964285714285765,53.789060373971544,42.8180824831713
37,2020-04-05,sm_r,46.0,50.098214285714285,-4.098214285714285,55.583703231114406,44.612725340314164
36,2020-04-25,sm_r,56.00000000000001,52.035714285714285,3.9642857142857224,57.521203231114406,46.550225340314164
35,2020-05-05,sm_r,50.0,52.85714285714287,-2.8571428571428683,58.34263180254299,47.37165391174275
34,2020-05-16,sm_r,56.00000000000001,53.83035714285715,2.169642857142854,59.315846088257274,48.34486819745703
33,2020-06-02,sm_r,53.0,54.517857142857146,-1.517857142857146,60.00334608825727,49.032368197457025
32,2020-06-06,sm_r,56.00000000000001,55.54464285714286,0.4553571428571459,61.03013180254298,50.05915391174274
31,2020-06-27,sm_r,57.99999999999999,55.44642857142857,2.5535714285714235,60.93191751682869,49.96093962602845
30,2020-07-12,sm_r,50.0,54.669642857142854,-4.669642857142854,60.155131802542975,49.18415391174273
29,2020-07-18,sm_r,59.0,56.785714285714285,2.2142857142857153,62.271203231114406,51.300225340314164
28,2020-08-08,sm_r,60.0,57.401785714285715,2.5982142857142847,62.887274659685836,51.916296768885594
