,end_date,brand,interview_mode,sample_size,p_lnp,p_alp,p_grn,p_onp,p_other,rating
0,02/10/2021,Newspoll-YouGov ,Online ,1545,37%,37%,11%,2%,13%,B
1,26/09/2021,Roy Morgan ,Telephone/Online ,2752,36%,36%,12.5%,3.5%,12%,A
2,18/09/2021,Newspoll-YouGov ,Online ,- ,37%,38%,10%,3%,12%,D
3,12/09/2021,Roy Morgan ,Telephone/Online ,2735,39.5%,35%,13%,3%,10%,A
4,29/08/2021,Roy Morgan ,Telephone/Online ,2735,37.5%,38.5%,11.5%,3%,9.5%,A
5,28/08/2021,Newspoll-YouGov ,Online ,1528,36%,40%,10%,3%,11%,B
6,21/08/2021,Resolve Strategic ,Online ,1607,40%,32%,12%,2%,14%,B
7,15/08/2021,Roy Morgan ,Telephone/Online ,2747,37.5%,37.5%,12.5%,3.5%,9%,A
8,07/08/2021,Newspoll-YouGov ,Online ,1527,39%,39%,11%,3%,8%,B
9,01/08/2021,Roy Morgan ,Telephone/Online ,2709,37%,37%,12.5%,3%,10.5%,A
10,19/07/2021,Essential ,Online ,- ,37%,36%,10%,4%,6%,D
11,18/07/2021,Roy Morgan ,Telephone/Online ,2737,39%,37%,11.5%,3%,9.5%,A
12,17/07/2021,Resolve Strategic ,Online ,1607,38%,35%,12%,4%,12%,B
13,17/07/2021,Newspoll-YouGov ,Online ,1506,39%,39%,10%,3%,9%,B
14,05/07/2021,Essential ,Online ,- ,37%,36%,8%,4%,5%,D
15,26/06/2021,Newspoll-YouGov ,Online ,1513,41%,37%,11%,3%,8%,B
16,20/06/2021,Roy Morgan ,Telephone/Online ,2782,41.5%,34.5%,12%,3.5%,8.5%,A
17,21/06/2021,Essential ,Online ,- ,38%,36%,10%,4%,5%,D
18,13/06/2021,Resolve Strategic ,Online ,1600,40%,36%,10%,3%,12%,B
19,07/06/2021,Essential ,Online ,- ,38%,35%,10%,4%,7%,D
20,06/06/2021,Roy Morgan ,Telephone/Online ,2817,40%,35.5%,11.5%,3%,10%,A
21,05/06/2021,Newspoll-YouGov ,Online ,1516,41%,36%,11%,3%,9%,B
22,24/05/2021,Essential ,Online ,- ,37%,35%,10%,3%,6%,D
23,16/05/2021,Resolve Strategic ,Online ,1622,39%,35%,12%,2%,13%,B
24,15/05/2021,Newspoll-YouGov ,Online ,1506,41%,36%,12%,2%,9%,B
25,10/05/2021,Essential ,Online ,- ,38%,36%,9%,3%,6%,D
26,26/04/2021,Essential ,Online ,- ,39%,34%,10%,4%,6%,D
27,24/04/2021,Newspoll-YouGov ,Online ,1514,41%,38%,10%,3%,8%,B
28,16/04/2021,Resolve Strategic ,CATI/Online ,2000,38%,33%,12%,6%,11%,A
29,12/04/2021,Essential ,Online ,- ,37%,36%,10%,3%,7%,D
30,29/03/2021,Essential ,Online ,- ,39%,36%,8%,3%,7%,D
31,27/03/2021,Newspoll-YouGov ,Online ,1517,40%,38%,11%,2%,9%,B
32,15/03/2021,Essential ,Online ,- ,38%,34%,9%,3%,8%,D
33,14/03/2021,Roy Morgan ,Telephone/Online ,2747,41%,34.5%,12.5%,2.5%,9.5%,A
34,13/03/2021,Newspoll-YouGov ,Online ,1521,39%,39%,10%,3%,9%,B
35,01/03/2021,Essential ,Online ,- ,37%,34%,9%,4%,8%,D
36,20/02/2021,Newspoll-YouGov ,Online ,1504,42%,37%,10%,3%,8%,B
37,15/02/2021,Essential ,Online ,- ,39%,35%,8%,4%,7%,D
38,14/02/2021,Roy Morgan ,Telephone/Online ,2786,40%,34.5%,13%,3.5%,9%,A
39,01/02/2021,Essential[29] ,Online ,1092,37%,35%,10%,3%,7%,B
40,30/01/2021,Newspoll-YouGov ,Online ,1512,42%,36%,10%,3%,9%,B
41,18/01/2021,Essential ,Online ,- ,40%,33%,10%,3%,7%,D
42,14/12/2020,Essential ,Online ,- ,37%,35%,8%,4%,7%,D
43,30/11/2020,Essential ,Online ,- ,41%,33%,8%,4%,6%,D
44,28/11/2020,Newspoll-YouGov ,Online ,1511,43%,36%,11%,2%,8%,B
45,16/11/2020,Essential ,Online ,- ,38%,35%,9%,4%,6%,D
46,22/11/2020,Roy Morgan ,Telephone/Online ,2824,42%,34%,12%,4%,8%,A
47,07/11/2020,Newspoll-YouGov ,Online ,1510,43%,35%,11%,3%,8%,B
48,02/11/2020,Essential ,Online ,- ,39%,35%,9%,3%,5%,D
49,19/10/2020,Essential ,Online ,- ,39%,35%,9%,3%,7%,D
50,12/10/2020,Essential ,Online ,- ,40%,33%,9%,3%,5%,D
51,10/10/2020,Newspoll-YouGov ,Online ,1527,44%,34%,11%,3%,8%,B
