,end_date,variable,value
58,2019-06-23,scomo_sat,48.0
117,2019-06-23,scomo_dissat,36.0
116,2019-07-21,scomo_dissat,34.0
57,2019-07-21,scomo_sat,48.0
56,2019-07-28,scomo_sat,51.0
115,2019-07-28,scomo_dissat,36.0
114,2019-08-18,scomo_dissat,42.0
55,2019-08-18,scomo_sat,48.0
113,2019-08-22,scomo_dissat,37.0
54,2019-08-22,scomo_sat,48.0
112,2019-09-07,scomo_dissat,39.0
53,2019-09-07,scomo_sat,49.0
52,2019-09-17,scomo_sat,49.0
111,2019-09-17,scomo_dissat,36.0
110,2019-09-29,scomo_dissat,43.0
51,2019-09-29,scomo_sat,47.0
109,2019-10-15,scomo_dissat,38.0
50,2019-10-15,scomo_sat,47.0
108,2019-10-20,scomo_dissat,45.0
49,2019-10-20,scomo_sat,47.0
107,2019-11-10,scomo_dissat,43.0
48,2019-11-10,scomo_sat,46.0
106,2019-11-12,scomo_dissat,41.0
47,2019-11-12,scomo_sat,45.0
105,2019-11-23,scomo_dissat,52.0
46,2019-11-23,scomo_sat,43.0
104,2019-12-08,scomo_dissat,48.0
45,2019-12-08,scomo_sat,45.0
44,2019-12-08,scomo_sat,45.0
103,2019-12-08,scomo_dissat,43.0
42,2020-01-11,scomo_sat,40.0
101,2020-01-11,scomo_dissat,52.0
102,2020-01-11,scomo_dissat,59.0
43,2020-01-11,scomo_sat,37.0
100,2020-02-01,scomo_dissat,59.0
41,2020-02-01,scomo_sat,37.0
99,2020-02-11,scomo_dissat,52.0
40,2020-02-11,scomo_sat,39.0
39,2020-02-22,scomo_sat,38.0
98,2020-02-22,scomo_dissat,57.99999999999999
97,2020-03-11,scomo_dissat,49.0
38,2020-03-11,scomo_sat,41.0
37,2020-03-14,scomo_sat,41.0
96,2020-03-14,scomo_dissat,53.0
36,2020-04-03,scomo_sat,61.0
95,2020-04-03,scomo_dissat,35.0
35,2020-04-05,scomo_sat,59.0
94,2020-04-05,scomo_dissat,31.0
34,2020-04-25,scomo_sat,68.0
93,2020-04-25,scomo_dissat,28.000000000000004
33,2020-05-05,scomo_sat,64.0
92,2020-05-05,scomo_dissat,27.0
91,2020-05-16,scomo_dissat,30.0
32,2020-05-16,scomo_sat,66.0
90,2020-06-02,scomo_dissat,26.0
31,2020-06-02,scomo_sat,65.0
30,2020-06-06,scomo_sat,66.0
89,2020-06-06,scomo_dissat,28.999999999999996
88,2020-06-27,scomo_dissat,27.0
29,2020-06-27,scomo_sat,68.0
87,2020-07-12,scomo_dissat,27.0
28,2020-07-12,scomo_sat,63.0
27,2020-07-18,scomo_sat,68.0
86,2020-07-18,scomo_dissat,27.0
85,2020-08-08,scomo_dissat,28.999999999999996
26,2020-08-08,scomo_sat,68.0
25,2020-08-09,scomo_sat,66.0
84,2020-08-09,scomo_dissat,23.0
83,2020-08-29,scomo_dissat,32.0
24,2020-08-29,scomo_sat,64.0
82,2020-09-19,scomo_dissat,31.0
23,2020-09-19,scomo_sat,65.0
81,2020-10-10,scomo_dissat,31.0
22,2020-10-10,scomo_sat,65.0
80,2020-11-06,scomo_dissat,31.0
21,2020-11-06,scomo_sat,64.0
20,2020-11-28,scomo_sat,66.0
79,2020-11-28,scomo_dissat,30.0
78,2020-12-01,scomo_dissat,28.000000000000004
19,2020-12-01,scomo_sat,62.0
18,2021-01-30,scomo_sat,63.0
77,2021-01-30,scomo_dissat,33.0
17,2021-02-20,scomo_sat,64.0
76,2021-02-20,scomo_dissat,32.0
16,2021-03-13,scomo_sat,62.0
75,2021-03-13,scomo_dissat,34.0
14,2021-03-27,scomo_sat,55.00000000000001
73,2021-03-27,scomo_dissat,40.0
74,2021-03-30,scomo_dissat,35.0
15,2021-03-30,scomo_sat,56.99999999999999
13,2021-04-12,scomo_sat,54.0
72,2021-04-12,scomo_dissat,37.0
71,2021-04-24,scomo_dissat,37.0
12,2021-04-24,scomo_sat,59.0
11,2021-05-15,scomo_sat,57.99999999999999
70,2021-05-15,scomo_dissat,38.0
69,2021-06-05,scomo_dissat,43.0
10,2021-06-05,scomo_sat,54.0
68,2021-06-08,scomo_dissat,36.0
9,2021-06-08,scomo_sat,56.99999999999999
67,2021-06-13,scomo_dissat,41.0
8,2021-06-13,scomo_sat,48.0
7,2021-06-26,scomo_sat,55.00000000000001
66,2021-06-26,scomo_dissat,41.0
6,2021-07-06,scomo_sat,51.0
65,2021-07-06,scomo_dissat,40.0
64,2021-07-17,scomo_dissat,45.0
63,2021-07-17,scomo_dissat,46.0
5,2021-07-17,scomo_sat,51.0
4,2021-07-17,scomo_sat,45.0
3,2021-08-07,scomo_sat,47.0
62,2021-08-07,scomo_dissat,49.0
2,2021-08-28,scomo_sat,49.0
61,2021-08-28,scomo_dissat,47.0
1,2021-09-18,scomo_sat,46.0
60,2021-09-18,scomo_dissat,50.0
59,2021-10-02,scomo_dissat,49.0
0,2021-10-02,scomo_sat,48.0
