,end_date,variable,value,smooth,noise,ci_top,ci_bot
117,2019-06-23,scomo_dissat,36.0,35.333333333333336,0.6666666666666643,40.58976207034697,30.0769045963197
116,2019-07-21,scomo_dissat,34.0,35.29629629629629,-1.2962962962962905,40.552725033309926,30.039867559282655
115,2019-07-28,scomo_dissat,36.0,37.0,-1.0,42.256428737013636,31.743571262986364
114,2019-08-18,scomo_dissat,42.0,38.95535714285714,3.044642857142861,44.211785879870774,33.6989284058435
113,2019-08-22,scomo_dissat,37.0,38.61607142857142,-1.6160714285714235,43.87250016558506,33.35964269155779
112,2019-09-07,scomo_dissat,39.0,38.044642857142854,0.9553571428571459,43.30107159415649,32.78821412012922
111,2019-09-17,scomo_dissat,36.0,38.517857142857146,-2.517857142857146,43.77428587987078,33.26142840584351
110,2019-09-29,scomo_dissat,43.0,40.03571428571429,2.964285714285708,45.29214302272793,34.779285548700656
109,2019-10-15,scomo_dissat,38.0,41.0,-3.0,46.256428737013636,35.743571262986364
108,2019-10-20,scomo_dissat,45.0,42.61607142857143,2.3839285714285694,47.872500165585066,37.359642691557795
107,2019-11-10,scomo_dissat,43.0,43.142857142857146,-0.1428571428571459,48.39928587987078,37.88642840584351
106,2019-11-12,scomo_dissat,41.0,44.526785714285715,-3.5267857142857153,49.78321445129935,39.27035697727208
105,2019-11-23,scomo_dissat,52.0,47.74107142857143,4.258928571428569,52.997500165585066,42.484642691557795
103,2019-12-08,scomo_dissat,43.0,47.267857142857146,-4.267857142857146,52.52428587987078,42.01142840584351
104,2019-12-08,scomo_dissat,48.0,47.651785714285715,0.3482142857142847,52.90821445129935,42.39535697727208
101,2020-01-11,scomo_dissat,52.0,51.62499999999999,0.3750000000000071,56.88142873701363,46.36857126298636
102,2020-01-11,scomo_dissat,59.0,56.49107142857143,2.5089285714285694,61.747500165585066,51.234642691557795
100,2020-02-01,scomo_dissat,59.0,57.026785714285715,1.9732142857142847,62.28321445129935,51.77035697727208
99,2020-02-11,scomo_dissat,52.0,55.276785714285715,-3.2767857142857153,60.53321445129935,50.02035697727208
98,2020-02-22,scomo_dissat,57.99999999999999,54.24107142857142,3.7589285714285694,59.49750016558506,48.98464269155779
97,2020-03-11,scomo_dissat,49.0,51.74107142857142,-2.7410714285714235,56.99750016558506,46.48464269155779
96,2020-03-14,scomo_dissat,53.0,47.089285714285715,5.910714285714285,52.34571445129935,41.83285697727208
95,2020-04-03,scomo_dissat,35.0,38.625,-3.625,43.881428737013636,33.368571262986364
94,2020-04-05,scomo_dissat,31.0,31.88392857142857,-0.8839285714285694,37.140357308442205,26.627499834414934
93,2020-04-25,scomo_dissat,28.000000000000004,28.80357142857143,-0.803571428571427,34.060000165585066,23.547142691557795
92,2020-05-05,scomo_dissat,27.0,28.071428571428573,-1.071428571428573,33.327857308442205,22.814999834414937
91,2020-05-16,scomo_dissat,30.0,28.205357142857142,1.7946428571428577,33.461785879870774,22.948928405843507
90,2020-06-02,scomo_dissat,26.0,27.758928571428573,-1.758928571428573,33.015357308442205,22.502499834414937
89,2020-06-06,scomo_dissat,28.999999999999996,27.75892857142857,1.241071428571427,33.015357308442205,22.502499834414934
88,2020-06-27,scomo_dissat,27.0,27.446428571428573,-0.44642857142857295,32.702857308442205,22.189999834414937
87,2020-07-12,scomo_dissat,27.0,27.142857142857142,-0.14285714285714235,32.399285879870774,21.886428405843507
86,2020-07-18,scomo_dissat,27.0,27.33928571428571,-0.33928571428571175,32.595714451299344,22.082856977272076
85,2020-08-08,scomo_dissat,28.999999999999996,27.107142857142854,1.8928571428571423,32.36357159415649,21.85071412012922
84,2020-08-09,scomo_dissat,23.0,27.044642857142858,-4.044642857142858,32.3010715941565,21.788214120129222
83,2020-08-29,scomo_dissat,32.0,29.446428571428573,2.553571428571427,34.702857308442205,24.189999834414937
82,2020-09-19,scomo_dissat,31.0,30.95535714285715,0.044642857142850545,36.21178587987079,25.698928405843514
81,2020-10-10,scomo_dissat,31.0,31.000000000000004,-3.552713678800501e-15,36.256428737013636,25.743571262986368
80,2020-11-06,scomo_dissat,31.0,30.651785714285722,0.3482142857142776,35.90821445129936,25.395356977272087
79,2020-11-28,scomo_dissat,30.0,29.90178571428571,0.09821428571428825,35.158214451299344,24.645356977272076
78,2020-12-01,scomo_dissat,28.000000000000004,29.937499999999996,-1.937499999999993,35.193928737013636,24.68107126298636
77,2021-01-30,scomo_dissat,33.0,31.482142857142858,1.5178571428571423,36.7385715941565,26.225714120129222
76,2021-02-20,scomo_dissat,32.0,32.86607142857143,-0.8660714285714306,38.122500165585066,27.609642691557795
75,2021-03-13,scomo_dissat,34.0,34.964285714285715,-0.9642857142857153,40.22071445129935,29.70785697727208
73,2021-03-27,scomo_dissat,40.0,36.955357142857146,3.044642857142854,42.21178587987078,31.69892840584351
74,2021-03-30,scomo_dissat,35.0,36.72321428571429,-1.7232142857142918,41.97964302272793,31.466785548700656
72,2021-04-12,scomo_dissat,37.0,36.66071428571429,0.3392857142857082,41.91714302272793,31.404285548700656
71,2021-04-24,scomo_dissat,37.0,37.38392857142857,-0.3839285714285694,42.640357308442205,32.127499834414934
70,2021-05-15,scomo_dissat,38.0,38.85714285714286,-0.8571428571428612,44.1135715941565,33.600714120129226
69,2021-06-05,scomo_dissat,43.0,39.82142857142857,3.1785714285714306,45.077857308442205,34.564999834414934
68,2021-06-08,scomo_dissat,36.0,39.14285714285714,-3.142857142857139,44.399285879870774,33.8864284058435
67,2021-06-13,scomo_dissat,41.0,39.830357142857146,1.169642857142854,45.08678587987078,34.57392840584351
66,2021-06-26,scomo_dissat,41.0,40.723214285714285,0.2767857142857153,45.97964302272792,35.46678554870065
65,2021-07-06,scomo_dissat,40.0,41.69642857142857,-1.6964285714285694,46.952857308442205,36.439999834414934
64,2021-07-17,scomo_dissat,45.0,44.035714285714285,0.9642857142857153,49.29214302272792,38.77928554870065
63,2021-07-17,scomo_dissat,46.0,46.30357142857143,-0.3035714285714306,51.560000165585066,41.047142691557795
62,2021-08-07,scomo_dissat,49.0,47.68749999999999,1.312500000000007,52.94392873701363,42.43107126298636
61,2021-08-28,scomo_dissat,47.0,48.24107142857142,-1.2410714285714235,53.49750016558506,42.98464269155779
60,2021-09-18,scomo_dissat,50.0,48.96296296296297,1.037037037037031,54.219391699976605,43.70653422594933
59,2021-10-02,scomo_dissat,49.0,49.23456790123457,-0.23456790123456983,54.490996638248205,43.978139164220934
