index,date,Sydney Metro Bus Contract 1,Sydney Metro Bus Contract 10,Sydney Metro Bus Contract 12,Sydney Metro Bus Contract 13,Sydney Metro Bus Contract 14,Sydney Metro Bus Contract 15,Sydney Metro Bus Contract 2,Sydney Metro Bus Contract 3,Sydney Metro Bus Contract 4,Sydney Metro Bus Contract 5,Sydney Metro Bus Contract 6,Sydney Metro Bus Contract 7,Sydney Metro Bus Contract 8,Sydney Metro Bus Contract 9
0,2018-01-01,389381,254654,88411,278410,205766,75244,100977,361659,1134814,114284,2614731,1600683,1545127,4470938
1,2018-02-01,429725,271544,104102,298716,230624,85718,112605,395725,1256731,124772,2695099,1677417,1606736,4418599
2,2018-03-01,469557,309397,112426,343573,242155,93964,123182,433936,1386691,140837,3053020,1835385,1729743,4975155
3,2018-04-01,427345,279281,98133,317485,221657,83842,110813,404594,1270690,129063,2780262,1655426,1563763,4443395
4,2018-05-01,501314,324698,119591,359814,261294,97982,130112,473051,1521955,150422,3326922,1923974,1748320,4450372
5,2018-06-01,442598,285549,102444,319022,225061,85475,115479,414702,1339381,134100,3052246,1739114,1581014,3857967
6,2018-07-01,481811,298326,106136,340783,238043,93526,124868,448534,1419096,146681,3312105,1820352,1631091,3784091
7,2018-08-01,510926,318719,116446,364258,255583,98614,132341,472420,1504929,154578,3642256,1958776,1708131,3996848
8,2018-09-01,462927,294307,104826,338287,231741,90834,121652,434593,1361620,141666,3360023,1783126,1604016,3780960
9,2018-10-01,506676,310159,112918,359647,253799,96325,128316,469712,1472392,151740,3535201,1984082,1708870,4230417
10,2018-11-01,521433,320409,118319,370747,265286,98135,132708,483938,1500351,154904,3575593,2045621,1791653,4348716
11,2018-12-01,432004,271779,88956,313951,226013,84196,110262,406128,1209117,134545,3095814,1742609,1629689,3961022
12,2019-01-01,453530,275888,98992,317905,240297,84388,115653,418389,1287612,140495,3205800,1824645,1703377,4181004
13,2019-02-01,490800,295751,114156,337601,259026,95214,128690,445412,1423293,145740,3346669,1927853,1744439,4248036
14,2019-03-01,540057,325870,122079,372574,276743,104758,141518,488165,1537588,158745,3746945,2121425,1868998,4591950
15,2019-04-01,478033,287613,102834,332048,243639,92177,125961,443033,1354814,142363,3322875,1854510,1665539,4091112
16,2019-05-01,561499,336282,127407,383862,293822,107841,150243,517120,1607939,163590,3722547,2166092,1904690,4326318
17,2019-06-01,471266,286403,104339,328857,252331,92871,125597,442400,1210243,139017,3278878,1842944,1668314,3864717
18,2019-07-01,544622,320116,116913,365899,279211,102636,144133,497952,1361697,159910,3486883,2025432,1806090,4166386
19,2019-08-01,543465,320095,119298,371174,280579,102133,145907,495370,1311109,159510,3616469,2070330,1779565,4133906
20,2019-09-01,516174,302353,112390,354388,265754,97066,140629,473238,1221992,152600,3386760,1961286,1717949,4086108
21,2019-10-01,530872,308028,114734,353865,265699,98834,144812,483973,1219546,156796,3385435,1953807,1725920,4106302
22,2019-11-01,524046,302794,111894,348329,260114,96336,142662,473007,1196701,156030,3265749,1890868,1651730,3895240
23,2019-12-01,455946,266044,92196,294639,222325,82894,119247,408438,990130,139128,2848152,1602548,1488179,3355591
24,2020-01-01,452466,264519,94238,289961,223350,83518,118752,395174,1017330,136313,2733798,1580163,1488702,3184074
25,2020-02-01,467925,275857,105337,304891,235106,87700,127474,413246,1100505,139734,2765918,1640016,1475627,3093501
26,2020-03-01,392860,226776,75254,264590,173516,76367,109989,344438,791830,116552,2047459,1188990,1058527,2210555
27,2020-04-01,171160,94238,23177,126139,52649,34498,50746,145502,199649,53136,645202,337493,313731,641267
28,2020-05-01,216827,123556,31244,157380,70725,43766,62683,184844,274398,69296,895362,477692,436868,902275
29,2020-06-01,260477,147425,42615,183077,94938,53281,76077,224463,370994,81472,1165459,650704,591423,1145046
30,2020-07-01,288798,161987,48516,200305,111250,56300,79438,240554,428406,88774,1313816,745551,685070,1297532
31,2020-08-01,270591,152598,45839,188753,105428,53574,75798,222797,393782,84102,1240961,694106,637229,1226714
32,2020-09-01,278146,159180,47456,194991,114920,58201,80454,236771,426457,86601,1271663,725384,668988,1265147
33,2020-10-01,275385,158962,47704,194093,122610,58187,79473,236670,447267,86347,1305726,754895,705436,1297803
34,2020-11-01,278318,162961,51138,197969,129488,58415,81795,242723,477038,90074,1311902,792176,721824,1336848
35,2020-12-01,261170,154219,46273,187653,114039,54987,76196,225956,441918,88380,1257941,729938,608992,1263990
36,2021-01-01,230528,134105,39606,162369,112411,48975,66807,195918,380756,77623,1088533,636008,610539,1161005
37,2021-02-01,265311,150126,52612,183636,138704,56486,76655,228189,493115,85604,1242262,758726,737550,1214372
38,2021-03-01,294367,166609,60674,200951,159410,62402,84722,257377,575624,94937,1415132,865697,832583,1345300
39,2021-04-01,271849,153757,55074,182732,149318,57653,76029,238133,544470,86621,1321087,804077,802010,1270683
40,2021-05-01,289229,159822,57804,190197,154859,61883,80858,251742,570866,89704,1381822,855480,821213,1296976
41,2021-06-01,259924,139241,49714,168286,130999,55105,73640,223025,473366,79959,1163303,717941,682283,1043552
42,2021-07-01,127354,64712,18203,84058,54029,28168,36772,106887,157758,36586,474440,254913,268074,435914
43,2021-08-01,102883,55196,17009,72153,47914,22039,31853,84748,127056,30449,362522,214350,249568,420645
