index,date,ContractArea,value
440,2018-01-01,Sydney Metro Bus Contract 6,2614731
441,2018-02-01,Sydney Metro Bus Contract 6,2695099
442,2018-03-01,Sydney Metro Bus Contract 6,3053020
443,2018-04-01,Sydney Metro Bus Contract 6,2780262
444,2018-05-01,Sydney Metro Bus Contract 6,3326922
445,2018-06-01,Sydney Metro Bus Contract 6,3052246
446,2018-07-01,Sydney Metro Bus Contract 6,3312105
447,2018-08-01,Sydney Metro Bus Contract 6,3642256
448,2018-09-01,Sydney Metro Bus Contract 6,3360023
449,2018-10-01,Sydney Metro Bus Contract 6,3535201
450,2018-11-01,Sydney Metro Bus Contract 6,3575593
451,2018-12-01,Sydney Metro Bus Contract 6,3095814
452,2019-01-01,Sydney Metro Bus Contract 6,3205800
453,2019-02-01,Sydney Metro Bus Contract 6,3346669
454,2019-03-01,Sydney Metro Bus Contract 6,3746945
455,2019-04-01,Sydney Metro Bus Contract 6,3322875
456,2019-05-01,Sydney Metro Bus Contract 6,3722547
457,2019-06-01,Sydney Metro Bus Contract 6,3278878
458,2019-07-01,Sydney Metro Bus Contract 6,3486883
459,2019-08-01,Sydney Metro Bus Contract 6,3616469
460,2019-09-01,Sydney Metro Bus Contract 6,3386760
461,2019-10-01,Sydney Metro Bus Contract 6,3385435
462,2019-11-01,Sydney Metro Bus Contract 6,3265749
463,2019-12-01,Sydney Metro Bus Contract 6,2848152
464,2020-01-01,Sydney Metro Bus Contract 6,2733798
465,2020-02-01,Sydney Metro Bus Contract 6,2765918
466,2020-03-01,Sydney Metro Bus Contract 6,2047459
467,2020-04-01,Sydney Metro Bus Contract 6,645202
468,2020-05-01,Sydney Metro Bus Contract 6,895362
469,2020-06-01,Sydney Metro Bus Contract 6,1165459
470,2020-07-01,Sydney Metro Bus Contract 6,1313816
471,2020-08-01,Sydney Metro Bus Contract 6,1240961
472,2020-09-01,Sydney Metro Bus Contract 6,1271663
473,2020-10-01,Sydney Metro Bus Contract 6,1305726
474,2020-11-01,Sydney Metro Bus Contract 6,1311902
475,2020-12-01,Sydney Metro Bus Contract 6,1257941
476,2021-01-01,Sydney Metro Bus Contract 6,1088533
477,2021-02-01,Sydney Metro Bus Contract 6,1242262
478,2021-03-01,Sydney Metro Bus Contract 6,1415132
479,2021-04-01,Sydney Metro Bus Contract 6,1321087
480,2021-05-01,Sydney Metro Bus Contract 6,1381822
481,2021-06-01,Sydney Metro Bus Contract 6,1163303
482,2021-07-01,Sydney Metro Bus Contract 6,474440
483,2021-08-01,Sydney Metro Bus Contract 6,362522
484,2018-01-01,Sydney Metro Bus Contract 7,1600683
485,2018-02-01,Sydney Metro Bus Contract 7,1677417
486,2018-03-01,Sydney Metro Bus Contract 7,1835385
487,2018-04-01,Sydney Metro Bus Contract 7,1655426
488,2018-05-01,Sydney Metro Bus Contract 7,1923974
489,2018-06-01,Sydney Metro Bus Contract 7,1739114
490,2018-07-01,Sydney Metro Bus Contract 7,1820352
491,2018-08-01,Sydney Metro Bus Contract 7,1958776
492,2018-09-01,Sydney Metro Bus Contract 7,1783126
