,date,value2,value1
0,2018-01-01,20138731,13235079
1,2018-02-01,20778812,13708113
2,2018-03-01,23654421,15249021
3,2018-04-01,21633186,13785749
4,2018-05-01,24912016,15389821
5,2018-06-01,22681754,13694152
6,2018-07-01,23255496,14245443
7,2018-08-01,24485310,15234825
8,2018-09-01,22846312,14110578
9,2018-10-01,23770594,15320254
10,2018-11-01,24048686,15727813
11,2018-12-01,20643109,13706085
12,2019-01-01,20682659,14347975
13,2019-02-01,21568177,15002680
14,2019-03-01,23887724,16397415
15,2019-04-01,21623364,14536551
16,2019-05-01,24662159,16369252
17,2019-06-01,21726113,14108177
18,2019-07-01,23353152,15377880
19,2019-08-01,23166102,15448910
20,2019-09-01,22204804,14788687
21,2019-10-01,22375014,14848623
22,2019-11-01,21441816,14315500
23,2019-12-01,18932450,12365457
24,2020-01-01,18202609,12062358
25,2020-02-01,18128652,12232837
26,2020-03-01,13398245,9077703
27,2020-04-01,4008102,2888587
28,2020-05-01,5608518,3946916
29,2020-06-01,7657404,5087451
30,2020-07-01,8689643,5746297
31,2020-08-01,7900689,5392272
32,2020-09-01,8407690,5614359
33,2020-10-01,8760781,5770558
34,2020-11-01,9035703,5932669
35,2020-12-01,8412556,5511652
36,2021-01-01,7161561,4945183
37,2021-02-01,8814706,5683348
38,2021-03-01,10149614,6415785
39,2021-04-01,9829778,6013493
40,2021-05-01,10066050,6262455
41,2021-06-01,8390099,5260338
42,2021-07-01,3035258,2147868
43,2021-08-01,2465782,1838385
