,value2,offense_value,value,date,value1
0,110030,16337828,148.4852131,2018-01-01,13235079
1,123432,19678228,159.4256595,2018-03-01,15249021
2,132746,20959273,157.89005319999998,2018-05-01,15389821
3,111492,18027937,161.6971352,2018-06-01,13694152
4,119634,18554443,155.09339319999998,2018-07-01,14245443
5,115466,18083102,156.60975530000002,2018-09-01,14110578
6,112180,17738591,158.1261455,2018-10-01,15320254
7,116116,18529136,159.57435669999998,2018-11-01,15727813
8,110412,17376495,157.3786817,2019-01-01,14347975
9,115778,18366821,158.63826459999999,2019-02-01,15002680
10,126298,19993650,158.3053572,2019-03-01,16397415
11,115737,17888876,154.5648842,2019-04-01,14536551
12,130759,20526322,156.978273,2019-05-01,16369252
13,111500,17850639,160.095417,2019-06-01,14108177
14,121999,19220893,157.5495947,2019-07-01,15377880
15,123172,19708499,160.0079482,2019-08-01,15448910
16,117718,18871490,160.3109975,2019-09-01,14788687
17,124076,19352624,155.9739514,2019-10-01,14848623
18,123674,19554953,158.1169284,2019-11-01,14315500
19,102760,16738583,162.8900642,2019-12-01,12365457
20,107447,16966250,157.90343149999998,2020-01-01,12062358
21,118693,18974973,159.865982,2020-02-01,12232837
22,89637,14703569,164.0345951,2020-03-01,9077703
23,26461,5410279,204.4623786,2020-04-01,2888587
24,53535,10131860,189.2567479,2020-05-01,3946916
25,89131,15048654,168.83748640000002,2020-06-01,5087451
26,101801,16915894,166.1662852,2020-07-01,5746297
27,104414,17136282,164.11862390000002,2020-08-01,5392272
28,107039,17659029,164.97752219999998,2020-09-01,5614359
29,110271,18229876,165.3188599,2020-10-01,5770558
30,109125,18147609,166.30111340000002,2020-11-01,5932669
31,92125,15679461,170.1976771,2020-12-01,5511652
32,95613,15983008,167.1635447,2021-01-01,4945183
33,106573,17834915,167.34928169999998,2021-02-01,5683348
34,114028,19156393,167.9972726,2021-03-01,6415785
35,112953,18198751,161.1179074,2021-04-01,6013493
36,124443,20549251,165.12982649999998,2021-05-01,6262455
37,105596,17711012,167.7242699,2021-06-01,5260338
38,40237,7830860,194.6183861,2021-07-01,2147868
39,28177,5775797,204.98268090000002,2021-08-01,1838385
