,date,Contract Area,value
0,2018-01-01,T1 North Shore Line,2226851
1,2018-02-01,T1 North Shore Line,2316457
2,2018-03-01,T1 North Shore Line,2667277
3,2018-04-01,T1 North Shore Line,2400762
4,2018-05-01,T1 North Shore Line,2760329
5,2018-06-01,T1 North Shore Line,2565643
6,2018-07-01,T1 North Shore Line,2637018
7,2018-08-01,T1 North Shore Line,2682911
8,2018-09-01,T1 North Shore Line,2563569
9,2018-10-01,T1 North Shore Line,3934360
10,2018-11-01,T1 North Shore Line,3997909
11,2018-12-01,T1 North Shore Line,3392689
12,2019-01-01,T1 North Shore Line,3281678
13,2019-02-01,T1 North Shore Line,3704351
14,2019-03-01,T1 North Shore Line,4090344
15,2019-04-01,T1 North Shore Line,3660684
16,2019-05-01,T1 North Shore Line,4301314
17,2019-06-01,T1 North Shore Line,3695748
18,2019-07-01,T1 North Shore Line,3928123
19,2019-08-01,T1 North Shore Line,3888756
20,2019-09-01,T1 North Shore Line,3871250
21,2019-10-01,T1 North Shore Line,3901692
22,2019-11-01,T1 North Shore Line,3561284
23,2019-12-01,T1 North Shore Line,3316036
24,2020-01-01,T1 North Shore Line,3093253
25,2020-02-01,T1 North Shore Line,3133757
26,2020-03-01,T1 North Shore Line,2069299
27,2020-04-01,T1 North Shore Line,485552
28,2020-05-01,T1 North Shore Line,676891
29,2020-06-01,T1 North Shore Line,1070459
30,2020-07-01,T1 North Shore Line,1230403
31,2020-08-01,T1 North Shore Line,1093775
32,2020-09-01,T1 North Shore Line,1240705
33,2020-10-01,T1 North Shore Line,1260011
34,2020-11-01,T1 North Shore Line,1323033
35,2020-12-01,T1 North Shore Line,1256128
36,2021-01-01,T1 North Shore Line,905707
37,2021-02-01,T1 North Shore Line,1443302
38,2021-03-01,T1 North Shore Line,1669777
39,2021-04-01,T1 North Shore Line,1578775
40,2021-05-01,T1 North Shore Line,1682139
41,2021-06-01,T1 North Shore Line,1330645
42,2021-07-01,T1 North Shore Line,347290
43,2021-08-01,T1 North Shore Line,316890
44,2018-01-01,T1 Northern Line,2954902
45,2018-02-01,T1 Northern Line,3059946
46,2018-03-01,T1 Northern Line,3474979
47,2018-04-01,T1 Northern Line,3319886
48,2018-05-01,T1 Northern Line,3744206
49,2018-06-01,T1 Northern Line,3335709
50,2018-07-01,T1 Northern Line,3442504
51,2018-08-01,T1 Northern Line,3606618
52,2018-09-01,T1 Northern Line,3369189
53,2018-10-01,T1 Northern Line,1848498
54,2018-11-01,T1 Northern Line,1865519
55,2018-12-01,T1 Northern Line,1600308
56,2019-01-01,T1 Northern Line,1542273
57,2019-02-01,T1 Northern Line,1666367
58,2019-03-01,T1 Northern Line,1881659
59,2019-04-01,T1 Northern Line,1552262
60,2019-05-01,T1 Northern Line,0
61,2019-06-01,T1 Northern Line,0
62,2019-07-01,T1 Northern Line,0
63,2019-08-01,T1 Northern Line,0
64,2019-09-01,T1 Northern Line,0
65,2019-10-01,T1 Northern Line,0
66,2019-11-01,T1 Northern Line,0
67,2019-12-01,T1 Northern Line,0
68,2020-01-01,T1 Northern Line,0
69,2020-02-01,T1 Northern Line,0
70,2020-03-01,T1 Northern Line,0
71,2020-04-01,T1 Northern Line,0
72,2020-05-01,T1 Northern Line,0
73,2020-06-01,T1 Northern Line,0
74,2020-07-01,T1 Northern Line,0
75,2020-08-01,T1 Northern Line,0
76,2020-09-01,T1 Northern Line,0
77,2020-10-01,T1 Northern Line,0
78,2020-11-01,T1 Northern Line,0
79,2020-12-01,T1 Northern Line,0
80,2021-01-01,T1 Northern Line,0
81,2021-02-01,T1 Northern Line,0
82,2021-03-01,T1 Northern Line,0
83,2021-04-01,T1 Northern Line,0
84,2021-05-01,T1 Northern Line,0
85,2021-06-01,T1 Northern Line,0
86,2021-07-01,T1 Northern Line,0
87,2021-08-01,T1 Northern Line,0
88,2018-01-01,T1 Western Line,2796911
89,2018-02-01,T1 Western Line,2918543
90,2018-03-01,T1 Western Line,3418443
91,2018-04-01,T1 Western Line,2910641
92,2018-05-01,T1 Western Line,3524368
93,2018-06-01,T1 Western Line,3228729
94,2018-07-01,T1 Western Line,3247765
