,value,date
0,3,2020-01-25
1,1,2020-01-27
2,2,2020-03-01
3,3,2020-03-02
4,6,2020-03-03
5,6,2020-03-04
6,4,2020-03-05
7,7,2020-03-06
8,2,2020-03-07
9,7,2020-03-08
10,13,2020-03-09
11,6,2020-03-10
12,16,2020-03-11
13,14,2020-03-12
14,19,2020-03-13
15,20,2020-03-14
16,38,2020-03-15
17,29,2020-03-16
18,64,2020-03-17
19,45,2020-03-18
20,56,2020-03-19
21,88,2020-03-20
22,122,2020-03-21
23,121,2020-03-22
24,177,2020-03-23
25,192,2020-03-24
26,206,2020-03-25
27,185,2020-03-26
28,213,2020-03-27
29,143,2020-03-28
30,124,2020-03-29
31,90,2020-03-30
32,131,2020-03-31
33,124,2020-04-01
34,92,2020-04-02
35,106,2020-04-03
36,73,2020-04-04
37,63,2020-04-05
38,40,2020-04-06
39,44,2020-04-07
40,44,2020-04-08
41,41,2020-04-09
42,30,2020-04-10
43,18,2020-04-11
44,9,2020-04-12
45,7,2020-04-13
46,21,2020-04-14
47,22,2020-04-15
48,22,2020-04-16
49,15,2020-04-17
50,17,2020-04-18
51,7,2020-04-19
52,2,2020-04-20
53,6,2020-04-21
54,3,2020-04-22
55,8,2020-04-23
56,14,2020-04-24
57,3,2020-04-25
58,1,2020-04-26
59,5,2020-04-27
60,10,2020-04-28
61,3,2020-04-29
62,15,2020-04-30
63,2,2020-05-01
64,2,2020-05-02
65,1,2020-05-03
66,4,2020-05-04
67,5,2020-05-05
68,3,2020-05-06
69,2,2020-05-07
70,4,2020-05-08
71,1,2020-05-09
72,1,2020-05-10
73,5,2020-05-12
74,4,2020-05-13
75,3,2020-05-14
76,2,2020-05-15
77,1,2020-05-17
78,2,2020-05-18
79,4,2020-05-19
80,1,2020-05-20
81,3,2020-05-21
82,1,2020-05-23
83,1,2020-05-24
84,2,2020-05-25
85,1,2020-05-27
86,2,2020-05-28
87,1,2020-05-29
88,2,2020-05-30
89,5,2020-05-31
90,4,2020-06-01
91,1,2020-06-02
92,2,2020-06-03
93,3,2020-06-04
94,1,2020-06-06
95,3,2020-06-07
96,1,2020-06-08
97,3,2020-06-09
98,3,2020-06-11
99,3,2020-06-12
100,9,2020-06-13
101,6,2020-06-14
102,2,2020-06-17
103,7,2020-06-18
104,1,2020-06-19
105,6,2020-06-20
106,1,2020-06-21
107,1,2020-06-22
108,10,2020-06-23
109,4,2020-06-24
110,6,2020-06-25
111,5,2020-06-26
112,10,2020-06-27
113,3,2020-06-28
114,6,2020-06-29
115,11,2020-06-30
116,6,2020-07-01
117,5,2020-07-02
118,8,2020-07-03
119,12,2020-07-04
120,8,2020-07-05
