lganame,councilnam,suburbname,postcode,percentage
ALBURY CITY,ALBURY CITY COUNCIL,ALBURY,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,EAST ALBURY,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,ETTAMOGAH,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,GLENROY,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,HAMILTON VALLEY,2641,100
ALBURY CITY,ALBURY CITY COUNCIL,JINDERA,2642,0.0375312738259294
ALBURY CITY,ALBURY CITY COUNCIL,LAKE HUME VILLAGE,3691,100
ALBURY CITY,ALBURY CITY COUNCIL,LAVINGTON,2641,100
ALBURY CITY,ALBURY CITY COUNCIL,NORTH ALBURY,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,SOUTH ALBURY,2640,99.9999999999998
ALBURY CITY,ALBURY CITY COUNCIL,SPLITTERS CREEK,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,SPRINGDALE HEIGHTS,2641,100
ALBURY CITY,ALBURY CITY COUNCIL,TABLE TOP,2640,51.4259946989564
ALBURY CITY,ALBURY CITY COUNCIL,THURGOONA,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,WEST ALBURY,2640,100
ALBURY CITY,ALBURY CITY COUNCIL,WIRLINGA,2640,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ABERFOYLE,2350,99.9999999999999
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ARMIDALE,2350,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BACKWATER,2365,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALD BLAIR,2365,99.9999999999998
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALDERSLEIGH,2365,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BEN LOMOND,2365,83.3085652102169
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BLACK MOUNTAIN,2365,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BOOROLONG,2350,91.2817225688319
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRIARBROOK,2365,83.3457896459657
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BROCKLEY,2365,99.9999999999999
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRUSHY CREEK,2365,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CARRAI,2440,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CASTLE DOYLE,2350,99.9999999999995
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DANGARSLEIGH,2350,85.7661490623828
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DONALD CREEK,2350,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUMARESQ,2350,74.3849822206584
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUVAL,2350,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,EBOR,2453,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ENMORE,2350,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,FALCONER,2365,99.9999999999999
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GREEN HILLS,2365,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GUYRA,2365,100
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HERNANI,2453,7.86870410264309
